binage	4601.143650435415
plantoir	1679.349166182659
tubercule	898.9584111658137
foliole	832.8479604645707
scarole	798.7148473307768
plant	774.5778601861655
compost	634.8759042885662
hersage	600.7427911547724
ado	586.23621807291
cantaloup	573.4363006477372
sarclage	545.0795605058162
verrine	464.2103386195968
mestier	450.55709336607924
ciboule	439.7782155343549
ramille	395.94411235200903
pourpier	370.49942801590817
espalier	344.9577746084044
igname	337.130132798395
ombelle	335.8698332365318
laitue	319.9979356293177
repiquage	317.66550623184173
rave	299.51806774904134
poireau	293.54477295062736
endive	286.7181503238686
inflorescence	286.7181503238686
balsamine	286.7181503238686
party	277.3315442120753
lilium	273.0649050703511
repique	263.31258703212427
bourgeon	241.4642487174516
navet	234.7130925604703
passiflore	232.1051693097984
pistachier	232.1051693097984
courge	212.4786292578669
purpurine	191.14543354924575
tanaisie	191.14543354924575
corymbe	184.31881092248696
raifort	176.44193866084225
puceron	165.1189347847279
arum	163.83894304221064
murier	163.83894304221064
semis	151.58432291222414
parage	150.1856977886931
lardage	150.1856977886931
panachure	136.53245253517554
souchet	136.53245253517554
flageolet	122.87920728165798
vanillier	122.87920728165798
paillage	122.87920728165798
root	122.87920728165798
arrosage	120.73752175169444
capucine	119.36837278789633
topinambour	116.32564955996956
cœur	115.50645484475851
arrosement	114.27766277194192
horticulture	110.9977572137114
renoncule	110.59128655349218
auricule	109.22596202814043
dolicho	109.22596202814043
mouillure	108.13370240785903
fumier	106.29051429863415
radis	97.45592301648738
plantation	95.92558394817303
radicule	95.57271677462288
stipe	95.57271677462288
pistil	93.43939720376075
palissage	87.91357919338134
fruit	82.3729600941759
sarcloir	81.91947152110532
escarole	81.91947152110532
fraiche	81.91947152110532
arbuste	80.04345308932427
jacinthe	79.0946621583086
arrachage	77.43950042229487
rosier	74.97094491886871
arpent	74.47224683736847
transplantation	72.05879439356487
œuvre	69.63155079293952
oignon	69.27757776784833
bottelage	68.26622626758777
apiculture	68.26622626758777
scion	66.38302002572328
cassement	65.53557721688425
bulbe	62.09321644551867
eumolpe	61.43960364082899
balayure	61.43960364082899
mucilage	61.43960364082899
vitrage	60.94009466813933
collet	60.43568854865858
limbe	59.32099661873144
abricotier	58.0262923274496
tulipier	57.34363006477373
paillis	56.114837991957145
incision	55.37149463926563
muid	54.612981014070215
piqure	54.612981014070215
lycopode	54.612981014070215
gramen	54.612981014070215
flouve	54.612981014070215
trifolium	54.612981014070215
marbrure	54.612981014070215
aurone	54.612981014070215
discontinuation	54.612981014070215
fomentation	54.612981014070215
halle	54.50547514593228
assaisonnement	53.87095681550947
jardinage	53.3376778859944
touffe	52.94315965212922
labour	51.04952404174452
betterave	49.61617476149421
rhizome	49.56128027026872
salsifis	49.51848651648904
acclimatation	49.37611982094019
fumigation	49.15168291266319
fructification	48.10387571878859
mignardise	47.78635838731144
quinconce	47.10369612463556
rameau	45.20556202841483
arrosoir	44.78264443153758
stigmate	44.47057025431432
amandier	44.32628938470767
plantule	44.11048466521056
pois	44.06340837421247
œillet	42.18852783336924
fumure	41.675189660300305
pissenlit	41.49867965213888
bassinage	40.95973576055266
porte-graine	40.95973576055266
immondice	40.95973576055266
rhododendron	40.95973576055266
consoude	40.95973576055266
houlque	40.95973576055266
sinapis	40.95973576055266
charronnage	40.95973576055266
limonier	40.95973576055266
dracunculus	40.95973576055266
airelle	40.95973576055266
dextrine	40.95973576055266
arbousier	40.95973576055266
exaction	40.95973576055266
pectine	40.95973576055266
sphaigne	40.95973576055266
thyrse	40.95973576055266
assolement	39.55339290182124
patate	39.34895963513767
rousselet	38.80396019420778
blanchiment	38.80396019420778
ramification	38.715366677782654
poirier	38.418438286357784
var	38.28844864573401
marcottage	38.134926397755926
denier	37.759756404259484
sauge	37.366776483311206
ajonc	37.23612341868424
cordeau	37.05880854526193
brocoli	36.45416482689187
cyclamen	35.839768790483575
sarment	35.037846253002876
ananas	34.82566905245057
catalpa	34.65823795123687
bouturage	34.58822130891113
girandole	34.133113133793884
icone	34.133113133793884
cep	34.017407665543736
gramme	33.69931437155837
calice	33.638430334753394
poivrade	32.33663349517315
prunier	32.20105012622064
onglet	31.650704905881604
aveline	31.50748904657897
salade	31.20071509824458
arboriculture	30.95793981902236
culture	30.65031747349725
buttage	29.90060710520344
condiment	29.66049830936572
altise	29.491009747597918
spore	29.439810077897224
parterre	29.094415480710023
raiponce	29.08141238999239
insecte	28.726794543474856
aromate	28.671815032386863
antiscorbutique	28.671815032386863
capron	28.671815032386863
ile	28.615705805317614
corolle	28.45294621534574
cerisier	27.635484368565653
pivoine	27.510270286938354
cambium	27.306490507035107
bineuse	27.306490507035107
botrytis	27.306490507035107
faine	27.306490507035107
cormier	27.306490507035107
cout	27.306490507035107
enfourchure	27.306490507035107
cytise	27.306490507035107
traine	27.306490507035107
appointement	27.306490507035107
ghilde	27.306490507035107
cari	27.306490507035107
croute	27.306490507035107
fasciation	27.306490507035107
ciste	27.306490507035107
bistorte	27.306490507035107
typha	27.306490507035107
stramonium	27.306490507035107
appareilleur	27.306490507035107
esquinancie	27.306490507035107
clayon	27.306490507035107
engelure	27.306490507035107
germination	26.287591607518873
coriandre	26.214230886753704
archive	25.869306796138524
chancre	25.74611962091882
agronome	25.74611962091882
cart	25.39503617154265
tuteur	25.09787730426021
pouce	24.71508135126832
bette	24.575841456331595
vinification	24.575841456331595
ombilic	24.01087958377225
brindille	23.151154995094984
pisciculture	23.03985136531087
arcure	22.598474902373884
alisier	22.05524233260528
manse	22.05524233260528
aubier	21.845192405628083
sud-ouest	21.708659953092912
